product_link,name,image_url,price,discount,ratings,solds,deliver_durations,location,brand_name,category
https://shopee.vn/Dung-D%E1%BB%8Bch-D%C6%B0%E1%BB%A1ng-%E1%BA%A8m-D%C6%B0%E1%BB%A1ng-Tr%E1%BA%AFng-Ng%E1%BB%ABa-M%E1%BB%A5n-Ch%E1%BB%91ng-L%C3%A3o-H%C3%B3a-To%C3%A0n-Di%E1%BB%87nHada-Labo-Lotion-100ML-170ML-i.1111895861.29970392973?sp_atk=17ef10f7-9e77-4705-9033-2e9c15d342e0&xptdk=17ef10f7-9e77-4705-9033-2e9c15d342e0,Dung Dịch Dưỡng Ẩm/Dưỡng Trắng/Ngừa Mụn/Chống Lão Hóa Toàn DiệnHada Labo Lotion 100ML/170ML,None,134400,-44%,5.0,1,Hôm nay,TP. Hồ Chí Minh,Hada Labo,Chăm sóc da mặt
https://shopee.vn/S%E1%BB%AFa-R%E1%BB%ADa-M%E1%BA%B7t-Hada-Labo-Gokujyun-C%E1%BA%A5p-%E1%BA%A8m-S%E1%BA%A1ch-S%C3%A2u-Nh%E1%BA%ADt-B%E1%BA%A3n-i.83432445.29959194671?sp_atk=f02cf257-2fee-4739-96bf-3e4c3bbf3118&xptdk=f02cf257-2fee-4739-96bf-3e4c3bbf3118,Sữa Rửa Mặt Hada Labo Gokujyun Cấp Ẩm Sạch Sâu Nhật Bản,None,113000,-19%,4.9,66,Hôm nay,TP. Hồ Chí Minh,Hada Labo,Chăm sóc da mặt
https://shopee.vn/Lotion-S%E1%BB%AFa-d%C6%B0%E1%BB%A1ng-Kem-d%C6%B0%E1%BB%A1ng-Hada-Labo-Gokujun-Hyaluronic-d%C6%B0%E1%BB%A1ng-%E1%BA%A9m-Ship-t%E1%BB%AB-Nh%E1%BA%ADt-B%E1%BA%A3n-i.1182646603.29950805866?sp_atk=eb070113-d460-4522-8ce2-1c2c5d44b2ad&xptdk=eb070113-d460-4522-8ce2-1c2c5d44b2ad,Lotion/ Sữa dưỡng/ Kem dưỡng Hada Labo Gokujun Hyaluronic dưỡng ẩm - Ship từ Nhật Bản,None,259000,None,None,1,None,Nhật Bản,Hada Labo,Chăm sóc da mặt
https://shopee.vn/S%E1%BB%AFa-r%E1%BB%ADa-m%E1%BA%B7t-Hada-Labo-Acne-Care-80g-i.29424182.29923231067?sp_atk=5b55778e-3de2-4f5e-86b7-a4de3dbf6bc4&xptdk=5b55778e-3de2-4f5e-86b7-a4de3dbf6bc4,Sữa rửa mặt Hada Labo Acne Care 80g,None,79000,None,None,0,None,Đà Nẵng,Hada Labo,Chăm sóc da mặt
https://shopee.vn/Dung-D%E1%BB%8Bch-D%C6%B0%E1%BB%A1ng-%E1%BA%A8m-Lotion-Hada-Labo-Advanced-Nourish-Gokujyun-Premium-Lotion-Toner-100ml-170ml-Nh%E1%BA%ADt-B%E1%BA%A3n-i.253498228.29911566244?sp_atk=c632dec5-8277-49f9-b295-c5cb8f65dcfd&xptdk=c632dec5-8277-49f9-b295-c5cb8f65dcfd,Dung Dịch Dưỡng Ẩm Lotion Hada Labo Advanced Nourish/Gokujyun Premium Lotion Toner 100ml/170ml Nhật Bản,None,130000,-28%,5.0,7,Hôm nay,TP. Hồ Chí Minh,Hada Labo,Chăm sóc da mặt
https://shopee.vn/Kem-D%C6%B0%E1%BB%A1ng-%E1%BA%A8m-Hada-Labo-Advanced-Nourish-Hyaluronic-Acid-Cream-50g-i.15553124.29870020030?sp_atk=a5edb7c7-f452-48ad-b40b-2e34f99646a8&xptdk=a5edb7c7-f452-48ad-b40b-2e34f99646a8,Kem Dưỡng Ẩm Hada Labo Advanced Nourish Hyaluronic Acid Cream 50g,None,165000,-6%,None,0,Hôm nay,Bình Dương,Hada Labo,Chăm sóc da mặt
https://shopee.vn/KEM-D%C6%AF%E1%BB%A0NG-%E1%BA%A8M-CH%E1%BB%90NG-L%C3%83O-H%C3%93A-HADA-LABO-NH%E1%BA%ACT-B%E1%BA%A2N-(L%E1%BB%8C-50GR)-i.98999816.29805219815?sp_atk=0b3fd63d-d221-4594-99aa-179eb03cf752&xptdk=0b3fd63d-d221-4594-99aa-179eb03cf752,"KEM DƯỠNG ẨM, CHỐNG LÃO HÓA HADA LABO NHẬT BẢN (LỌ 50GR)",None,332000,-13%,5.0,2,Hôm nay,TP. Hồ Chí Minh,Hada Labo,Chăm sóc da mặt
https://shopee.vn/S%E1%BB%AFa-r%E1%BB%ADa-m%E1%BA%B7t-t%E1%BA%A1o-b%E1%BB%8Dt-Hada-Labo-Nh%E1%BA%ADt-B%E1%BA%A3n-nh%E1%BA%B9-nh%C3%A0ng-l%C3%A0m-s%E1%BA%A1ch-b%E1%BB%A5i-b%E1%BA%A9n-d%E1%BA%A7u-th%E1%BB%ABa-b%C3%A3-nh%E1%BB%9Dn-tr%C3%AAn-da-Chai-160ml-i.749955094.29804599704?sp_atk=e394c72b-340f-475e-9b37-ed980b07547c&xptdk=e394c72b-340f-475e-9b37-ed980b07547c,"Sữa rửa mặt tạo bọt Hada Labo Nhật Bản nhẹ nhàng làm sạch bụi bẩn, dầu thừa, bã nhờn trên da - Chai 160ml",None,122000,-6%,4.5,9,2 ngày,Hà Nội,Hada Labo,Chăm sóc da mặt
https://shopee.vn/S%E1%BB%AFa-R%E1%BB%ADa-M%E1%BA%B7t-D%C6%B0%E1%BB%A1ng-Tr%E1%BA%AFng-Cho-M%E1%BB%8Di-Lo%E1%BA%A1i-Da-Hada-Labo-Perfect-White-Cleanser-80g-i.1229385944.29801176408?sp_atk=f658002e-8edd-4c77-b1ed-187b9a0382c9&xptdk=f658002e-8edd-4c77-b1ed-187b9a0382c9,Sữa Rửa Mặt Dưỡng Trắng Cho Mọi Loại Da Hada Labo Perfect White Cleanser 80g,None,78000,None,5.0,1,2 - 3 ngày,Bình Dương,Hada Labo,Chăm sóc da mặt
https://shopee.vn/S%E1%BB%AFa-R%E1%BB%ADa-M%E1%BA%B7t-Hada-Labo-Advanced-Nourish-Perfect-White-Acne-Care-Pro-Anti-Aging-Cleanser-80g-Kem-R%E1%BB%ADa-M%E1%BA%B7t-D%C6%B0%E1%BB%A1ng-%E1%BA%A8m-i.420408571.29770391230?sp_atk=712e735f-f1d5-4457-a7de-14509951eab3&xptdk=712e735f-f1d5-4457-a7de-14509951eab3,Sữa Rửa Mặt Hada Labo Advanced Nourish / Perfect White / Acne Care / Pro Anti Aging Cleanser 80g - Kem Rửa Mặt Dưỡng Ẩm,None,71000,None,None,0,None,Yên Bái,Hada Labo,Chăm sóc da mặt
